Step,Function,Nodes,p,Is isomorphic,Test result,Test execution time,NX execution time
0,dummy_test,10,0.2,False,False,0.0,0.0
0,first_test,10,0.2,False,False,0.0,0.0
0,second_test,10,0.2,False,False,0.0,0.0
0,third_test,10,0.2,False,False,0.0,0.0
1,dummy_test,10,0.2,False,False,0.0009944438934326172,0.0
1,first_test,10,0.2,False,False,0.0,0.0
1,second_test,10,0.2,False,False,0.0,0.0
1,third_test,10,0.2,False,False,0.0,0.0
2,dummy_test,10,0.2,False,False,0.0,0.0
2,first_test,10,0.2,False,False,0.0,0.0
2,second_test,10,0.2,False,False,0.0,0.0
2,third_test,10,0.2,False,False,0.0,0.0
0,dummy_test,20,0.2,False,False,0.0,0.0
0,first_test,20,0.2,False,False,0.0,0.0
0,second_test,20,0.2,False,False,0.0,0.0
0,third_test,20,0.2,False,False,0.0,0.0
1,dummy_test,20,0.2,False,False,0.0009987354278564453,0.0
1,first_test,20,0.2,False,False,0.0,0.0
1,second_test,20,0.2,False,False,0.0,0.0
1,third_test,20,0.2,False,False,0.0,0.0
2,dummy_test,20,0.2,False,False,0.0,0.0
2,first_test,20,0.2,False,False,0.0,0.0
2,second_test,20,0.2,False,False,0.0009999275207519531,0.0
2,third_test,20,0.2,False,True,0.0,0.0
0,dummy_test,30,0.2,False,False,0.001001119613647461,0.0
0,first_test,30,0.2,False,False,0.0,0.0
0,second_test,30,0.2,False,False,0.0,0.0
0,third_test,30,0.2,False,False,0.0010001659393310547,0.0
1,dummy_test,30,0.2,False,False,0.0,0.0
1,first_test,30,0.2,False,False,0.0,0.0
1,second_test,30,0.2,False,False,0.00099945068359375,0.0
1,third_test,30,0.2,False,False,0.0,0.0
2,dummy_test,30,0.2,False,False,0.0,0.0
2,first_test,30,0.2,False,False,0.0009992122650146484,0.0
2,second_test,30,0.2,False,False,0.0,0.0
2,third_test,30,0.2,False,False,0.0,0.0
0,dummy_test,40,0.2,False,False,0.0,0.0
0,first_test,40,0.2,False,False,0.00099945068359375,0.0
0,second_test,40,0.2,False,False,0.0,0.0
0,third_test,40,0.2,False,False,0.0,0.0
1,dummy_test,40,0.2,False,False,0.0,0.0
1,first_test,40,0.2,False,False,0.0,0.0
1,second_test,40,0.2,False,False,0.0010173320770263672,0.0
1,third_test,40,0.2,False,False,0.0,0.0
2,dummy_test,40,0.2,False,False,0.0,0.0009996891021728516
2,first_test,40,0.2,False,False,0.0,0.0009996891021728516
2,second_test,40,0.2,False,False,0.0009999275207519531,0.0009996891021728516
2,third_test,40,0.2,False,False,0.0,0.0009996891021728516
0,dummy_test,50,0.2,False,False,0.0,0.0
0,first_test,50,0.2,False,False,0.0009989738464355469,0.0
0,second_test,50,0.2,False,False,0.0009999275207519531,0.0
0,third_test,50,0.2,False,False,0.0,0.0
1,dummy_test,50,0.2,False,False,0.0,0.0
1,first_test,50,0.2,False,False,0.0009999275207519531,0.0
1,second_test,50,0.2,False,False,0.0010106563568115234,0.0
1,third_test,50,0.2,False,True,0.000989675521850586,0.0
2,dummy_test,50,0.2,False,False,0.0010004043579101562,0.0
2,first_test,50,0.2,False,False,0.0,0.0
2,second_test,50,0.2,False,False,0.0009989738464355469,0.0
