Step,Function,Nodes,p,changes,cycling check,Is isomorphic,Test result,Test execution time,NX execution time
3,dummy_test,10,0.2,1,10,False,False,0.0,0.0
3,first_test,10,0.2,1,10,False,False,0.0,0.0
3,second_test,10,0.2,1,10,False,False,0.0,0.0
3,third_test,10,0.2,1,10,False,False,0.0,0.0
4,dummy_test,10,0.2,1,10,False,False,0.0,0.0
4,first_test,10,0.2,1,10,False,False,0.0,0.0
4,second_test,10,0.2,1,10,False,False,0.0,0.0
4,third_test,10,0.2,1,10,False,False,0.0,0.0
5,dummy_test,10,0.2,1,10,False,False,0.000507354736328125,0.0
5,first_test,10,0.2,1,10,False,False,0.0,0.0
5,second_test,10,0.2,1,10,False,False,0.0,0.0
5,third_test,10,0.2,1,10,False,False,0.0,0.0
6,dummy_test,10,0.2,1,10,False,False,0.0010960102081298828,0.0
6,first_test,10,0.2,1,10,False,False,0.0,0.0
6,second_test,10,0.2,1,10,False,True,0.0010077953338623047,0.0
6,third_test,10,0.2,1,10,False,False,0.0009975433349609375,0.0
7,dummy_test,10,0.2,1,10,False,False,0.0,0.0
7,first_test,10,0.2,1,10,False,True,0.0,0.0
7,second_test,10,0.2,1,10,False,False,0.0009992122650146484,0.0
7,third_test,10,0.2,1,10,False,True,0.0,0.0
8,dummy_test,10,0.2,1,10,False,True,0.0,0.0
8,first_test,10,0.2,1,10,False,True,0.0,0.0
8,second_test,10,0.2,1,10,False,True,0.0,0.0
8,third_test,10,0.2,1,10,False,True,0.0,0.0
9,dummy_test,10,0.2,1,10,False,True,0.0009989738464355469,0.0
9,first_test,10,0.2,1,10,False,False,0.0,0.0
9,second_test,10,0.2,1,10,False,False,0.0009996891021728516,0.0
9,third_test,10,0.2,1,10,False,False,0.0,0.0
0,dummy_test,10,0.2,2,1,False,False,0.0,0.0
0,first_test,10,0.2,2,1,False,False,0.0,0.0
0,second_test,10,0.2,2,1,False,False,0.0,0.0
0,third_test,10,0.2,2,1,False,False,0.0,0.0
1,dummy_test,10,0.2,2,1,False,False,0.0010037422180175781,0.0
1,first_test,10,0.2,2,1,False,False,0.0,0.0
1,second_test,10,0.2,2,1,False,False,0.0,0.0
1,third_test,10,0.2,2,1,False,False,0.0,0.0
2,dummy_test,10,0.2,2,1,False,False,0.0,0.0
2,first_test,10,0.2,2,1,False,False,0.0,0.0
2,second_test,10,0.2,2,1,False,False,0.0,0.0
2,third_test,10,0.2,2,1,False,False,0.0,0.0
3,dummy_test,10,0.2,2,1,False,False,0.0,0.0
3,first_test,10,0.2,2,1,False,False,0.0,0.0
3,second_test,10,0.2,2,1,False,False,0.0,0.0
3,third_test,10,0.2,2,1,False,True,0.0,0.0
4,dummy_test,10,0.2,2,1,False,False,0.0,0.0
4,first_test,10,0.2,2,1,False,False,0.0,0.0
4,second_test,10,0.2,2,1,False,False,0.0,0.0
4,third_test,10,0.2,2,1,False,False,0.0,0.0
5,dummy_test,10,0.2,2,1,False,False,0.0,0.0
5,first_test,10,0.2,2,1,False,False,0.0,0.0
5,second_test,10,0.2,2,1,False,False,0.0010161399841308594,0.0
5,third_test,10,0.2,2,1,False,False,0.0,0.0
6,dummy_test,10,0.2,2,1,False,False,0.0,0.0
6,first_test,10,0.2,2,1,False,False,0.0,0.0
6,second_test,10,0.2,2,1,False,False,0.0,0.0
6,third_test,10,0.2,2,1,False,False,0.0,0.0
7,dummy_test,10,0.2,2,1,False,False,0.0,0.0
7,first_test,10,0.2,2,1,False,False,0.0,0.0
7,second_test,10,0.2,2,1,False,False,0.0012011528015136719,0.0
7,third_test,10,0.2,2,1,False,False,0.0,0.0
8,dummy_test,10,0.2,2,1,False,True,0.0,0.0
8,first_test,10,0.2,2,1,False,True,0.0,0.0
8,second_test,10,0.2,2,1,False,True,0.001001119613647461,0.0
8,third_test,10,0.2,2,1,False,True,0.0,0.0
9,dummy_test,10,0.2,2,1,False,False,0.0,0.0
9,first_test,10,0.2,2,1,False,False,0.0,0.0
9,second_test,10,0.2,2,1,False,False,0.0,0.0
9,third_test,10,0.2,2,1,False,False,0.0,0.0
0,dummy_test,10,0.2,2,5,False,False,0.0,0.0
0,first_test,10,0.2,2,5,False,False,0.0,0.0
0,second_test,10,0.2,2,5,False,False,0.0,0.0
0,third_test,10,0.2,2,5,False,False,0.0,0.0
1,dummy_test,10,0.2,2,5,False,False,0.0,0.0
1,first_test,10,0.2,2,5,False,False,0.0,0.0
1,second_test,10,0.2,2,5,False,False,0.0,0.0
1,third_test,10,0.2,2,5,False,False,0.0,0.0
2,dummy_test,10,0.2,2,5,False,False,0.0,0.0010008811950683594
2,first_test,10,0.2,2,5,False,False,0.0,0.0010008811950683594
2,second_test,10,0.2,2,5,False,False,0.0,0.0010008811950683594
2,third_test,10,0.2,2,5,False,False,0.0,0.0010008811950683594
3,dummy_test,10,0.2,2,5,False,False,0.0,0.0
3,first_test,10,0.2,2,5,False,False,0.0009989738464355469,0.0
3,second_test,10,0.2,2,5,False,False,0.0,0.0
3,third_test,10,0.2,2,5,False,False,0.0,0.0
4,dummy_test,10,0.2,2,5,False,False,0.0,0.0
4,first_test,10,0.2,2,5,False,False,0.0009999275207519531,0.0
4,second_test,10,0.2,2,5,False,False,0.0,0.0
4,third_test,10,0.2,2,5,False,False,0.0,0.0
5,dummy_test,10,0.2,2,5,False,True,0.0,0.0
5,first_test,10,0.2,2,5,False,True,0.0010175704956054688,0.0
5,second_test,10,0.2,2,5,False,True,0.0,0.0
5,third_test,10,0.2,2,5,False,True,0.0,0.0
6,dummy_test,10,0.2,2,5,False,False,0.0009963512420654297,0.0
6,first_test,10,0.2,2,5,False,False,0.0,0.0
6,second_test,10,0.2,2,5,False,False,0.0,0.0
6,third_test,10,0.2,2,5,False,True,0.0009865760803222656,0.0
7,dummy_test,10,0.2,2,5,False,False,0.0,0.0
7,first_test,10,0.2,2,5,False,False,0.0005040168762207031,0.0
7,second_test,10,0.2,2,5,False,False,0.0,0.0
7,third_test,10,0.2,2,5,False,True,0.0005025863647460938,0.0
8,dummy_test,10,0.2,2,5,False,False,0.0,0.0
8,first_test,10,0.2,2,5,False,False,0.0,0.0
8,second_test,10,0.2,2,5,False,False,0.0,0.0
8,third_test,10,0.2,2,5,False,False,0.0,0.0
9,dummy_test,10,0.2,2,5,False,True,0.0,0.0
9,first_test,10,0.2,2,5,False,False,0.0010042190551757812,0.0
9,second_test,10,0.2,2,5,False,False,8.416175842285156e-05,0.0
9,third_test,10,0.2,2,5,False,False,0.0,0.0
0,dummy_test,10,0.2,2,10,False,False,0.0,0.0
0,first_test,10,0.2,2,10,False,False,0.0,0.0
0,second_test,10,0.2,2,10,False,False,0.0,0.0
0,third_test,10,0.2,2,10,False,False,0.0009987354278564453,0.0
1,dummy_test,10,0.2,2,10,False,False,0.0,0.0
1,first_test,10,0.2,2,10,False,False,0.0,0.0
1,second_test,10,0.2,2,10,False,False,0.0,0.0
1,third_test,10,0.2,2,10,False,False,0.0,0.0
2,dummy_test,10,0.2,2,10,False,False,0.00101470947265625,0.0
2,first_test,10,0.2,2,10,False,False,0.0,0.0
2,second_test,10,0.2,2,10,False,False,0.000985860824584961,0.0
2,third_test,10,0.2,2,10,False,True,0.0,0.0
3,dummy_test,10,0.2,2,10,False,False,0.0009999275207519531,0.0
3,first_test,10,0.2,2,10,False,False,0.0,0.0
3,second_test,10,0.2,2,10,False,True,0.0,0.0
3,third_test,10,0.2,2,10,False,True,0.0,0.0
4,dummy_test,10,0.2,2,10,False,False,0.0,0.0
4,first_test,10,0.2,2,10,False,True,0.0,0.0
4,second_test,10,0.2,2,10,False,True,0.0009996891021728516,0.0
4,third_test,10,0.2,2,10,False,True,0.0,0.0
5,dummy_test,10,0.2,2,10,False,False,0.0,0.0
5,first_test,10,0.2,2,10,False,False,0.0,0.0
